0	0	0.	4.606753
1	1	4.606753	5.458085
2	1	5.458085	6.246590
3	1	6.246590	7.031137
4	1	7.031137	7.761301
0	0	0.	5.361391
1	1	5.361391	6.164927
2	1	6.164927	7.033712
3	1	7.033712	7.815756
4	1	7.815756	8.208095
0	0	0.	8.208853
1	1	8.208853	8.821940
2	1	8.821940	8.986082
3	1	8.986082	9.108112
4	1	9.108112	8.946920
0	0	0.	8.464691
1	1	8.464691	8.628833
2	1	8.628833	8.750863
3	1	8.750863	8.653034
4	1	8.653034	8.615412
0	0	0.	8.442525
1	1	8.442525	8.799774
2	1	8.799774	8.872532
3	1	8.872532	8.894399
4	1	8.894399	8.841481
0	0	0.	7.923770
1	1	7.923770	8.515283
2	1	8.515283	8.537149
3	1	8.537149	8.439321
4	1	8.439321	8.401699
0	0	0.	8.362868
1	1	8.362868	8.598448
2	1	8.598448	8.545657
3	1	8.545657	8.776302
4	1	8.776302	8.820886
0	0	0.	8.201676
1	1	8.201676	8.437256
2	1	8.437256	8.589671
3	1	8.589671	8.651408
4	1	8.651408	8.861423
0	0	0.	8.068555
1	1	8.068555	8.229747
2	1	8.229747	8.382162
3	1	8.382162	8.739411
4	1	8.739411	8.819614
0	0	0.	7.967930
1	1	7.967930	8.129121
2	1	8.129121	8.281536
3	1	8.281536	8.638786
4	1	8.638786	8.771907
0	0	0.	7.434609
1	1	7.434609	7.626393
2	1	7.626393	7.965450
3	1	7.965450	8.126641
4	1	8.126641	8.279056
0	0	0.	6.762385
1	1	6.762385	7.177801
2	1	7.177801	7.401047
3	1	7.401047	7.794611
4	1	7.794611	7.955803
0	0	0.	6.302718
1	1	6.302718	6.740814
2	1	6.740814	7.335066
3	1	7.335066	7.586505
4	1	7.586505	7.836679
