StepN	DirN	GainBefore	GainNow
0	0	0.	0.890779
1	1	0.890779	1.469689
2	1	1.469689	1.932723
3	1	1.932723	2.319295
4	1	2.319295	2.560727
0	0	0.	1.796760
1	1	1.796760	2.251379
2	1	2.251379	2.231010
3	1	2.231010	2.205860
4	1	2.205860	1.626950
0	0	0.	2.251379
1	1	2.251379	2.098223
2	1	2.098223	2.535577
3	1	2.535577	2.080958
4	1	2.080958	1.502049
0	0	0.	2.560727
1	1	2.560727	2.106108
2	1	2.106108	1.864677
3	1	1.864677	1.817970
4	1	1.817970	1.843120
